facility_id,facility_name,facility_type,district,state,bed_count,data_source
F00080,PHC Cuttack #9,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00081,PHC Cuttack #10,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00082,PHC Cuttack #11,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00083,PHC Cuttack #12,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00084,PHC Cuttack #13,PHC,Cuttack,Odisha,4,real_state_totals_synthetic_district_distribution
F00085,PHC Cuttack #14,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00086,PHC Cuttack #15,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00087,PHC Cuttack #16,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00088,PHC Cuttack #17,PHC,Cuttack,Odisha,4,real_state_totals_synthetic_district_distribution
F00089,PHC Cuttack #18,PHC,Cuttack,Odisha,7,real_state_totals_synthetic_district_distribution
F00090,PHC Cuttack #19,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00091,PHC Cuttack #20,PHC,Cuttack,Odisha,7,real_state_totals_synthetic_district_distribution
F00092,PHC Cuttack #21,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00093,PHC Cuttack #22,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00094,PHC Cuttack #23,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00095,PHC Cuttack #24,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00096,PHC Cuttack #25,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00097,PHC Cuttack #26,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00098,PHC Cuttack #27,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00099,PHC Cuttack #28,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00100,PHC Cuttack #29,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00101,PHC Cuttack #30,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00102,PHC Cuttack #31,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00103,PHC Cuttack #32,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00104,PHC Cuttack #33,PHC,Cuttack,Odisha,4,real_state_totals_synthetic_district_distribution
F00105,PHC Cuttack #34,PHC,Cuttack,Odisha,8,real_state_totals_synthetic_district_distribution
F00106,PHC Cuttack #35,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00107,PHC Cuttack #36,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00108,PHC Cuttack #37,PHC,Cuttack,Odisha,8,real_state_totals_synthetic_district_distribution
F00109,PHC Cuttack #38,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00110,PHC Cuttack #39,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00111,PHC Cuttack #40,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00112,PHC Cuttack #41,PHC,Cuttack,Odisha,7,real_state_totals_synthetic_district_distribution
F00113,PHC Cuttack #42,PHC,Cuttack,Odisha,7,real_state_totals_synthetic_district_distribution
F00114,PHC Cuttack #43,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00115,PHC Cuttack #44,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00116,PHC Cuttack #45,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00117,PHC Cuttack #46,PHC,Cuttack,Odisha,8,real_state_totals_synthetic_district_distribution
F00118,PHC Cuttack #47,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00119,PHC Cuttack #48,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00120,PHC Cuttack #49,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00121,PHC Cuttack #50,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00122,PHC Cuttack #51,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00123,PHC Cuttack #52,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00124,PHC Cuttack #53,PHC,Cuttack,Odisha,4,real_state_totals_synthetic_district_distribution
F00125,PHC Cuttack #54,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00126,PHC Cuttack #55,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00127,PHC Cuttack #56,PHC,Cuttack,Odisha,4,real_state_totals_synthetic_district_distribution
F00128,PHC Cuttack #57,PHC,Cuttack,Odisha,10,real_state_totals_synthetic_district_distribution
F00129,PHC Cuttack #58,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00130,PHC Cuttack #59,PHC,Cuttack,Odisha,7,real_state_totals_synthetic_district_distribution
F00131,PHC Cuttack #60,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00132,PHC Cuttack #61,PHC,Cuttack,Odisha,4,real_state_totals_synthetic_district_distribution
F00133,PHC Cuttack #62,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00134,PHC Cuttack #63,PHC,Cuttack,Odisha,8,real_state_totals_synthetic_district_distribution
F00135,PHC Cuttack #64,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00136,PHC Cuttack #65,PHC,Cuttack,Odisha,6,real_state_totals_synthetic_district_distribution
F00137,PHC Cuttack #66,PHC,Cuttack,Odisha,5,real_state_totals_synthetic_district_distribution
F00138,PHC Cuttack #67,PHC,Cuttack,Odisha,9,real_state_totals_synthetic_district_distribution
F00139,PHC Cuttack #68,PHC,Cuttack,Odisha,7,real_state_totals_synthetic_district_distribution
F00140,PHC Cuttack #69,PHC,Cuttack,Odisha,7,real_state_totals_synthetic_district_distribution
F00141,CHC Cuttack #1,CHC,Cuttack,Odisha,48,real_state_totals_synthetic_district_distribution
F00142,CHC Cuttack #2,CHC,Cuttack,Odisha,49,real_state_totals_synthetic_district_distribution
F00143,CHC Cuttack #3,CHC,Cuttack,Odisha,40,real_state_totals_synthetic_district_distribution
F00144,CHC Cuttack #4,CHC,Cuttack,Odisha,34,real_state_totals_synthetic_district_distribution
F00145,CHC Cuttack #5,CHC,Cuttack,Odisha,24,real_state_totals_synthetic_district_distribution
F00146,CHC Cuttack #6,CHC,Cuttack,Odisha,28,real_state_totals_synthetic_district_distribution
F00147,CHC Cuttack #7,CHC,Cuttack,Odisha,24,real_state_totals_synthetic_district_distribution
F00148,CHC Cuttack #8,CHC,Cuttack,Odisha,27,real_state_totals_synthetic_district_distribution
F00149,CHC Cuttack #9,CHC,Cuttack,Odisha,43,real_state_totals_synthetic_district_distribution
F00150,CHC Cuttack #10,CHC,Cuttack,Odisha,37,real_state_totals_synthetic_district_distribution
F00151,CHC Cuttack #11,CHC,Cuttack,Odisha,37,real_state_totals_synthetic_district_distribution
F00152,CHC Cuttack #12,CHC,Cuttack,Odisha,28,real_state_totals_synthetic_district_distribution
F00153,District Hospital Cuttack #1,District Hospital,Cuttack,Odisha,291,real_state_totals_synthetic_district_distribution
F00154,District Hospital Cuttack #2,District Hospital,Cuttack,Odisha,249,real_state_totals_synthetic_district_distribution
F00155,PHC Ganjam #1,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00156,PHC Ganjam #2,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00157,PHC Ganjam #3,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00158,PHC Ganjam #4,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00159,PHC Ganjam #5,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00160,PHC Ganjam #6,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00161,PHC Ganjam #7,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00162,PHC Ganjam #8,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00163,PHC Ganjam #9,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00164,PHC Ganjam #10,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00165,PHC Ganjam #11,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00166,PHC Ganjam #12,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00167,PHC Ganjam #13,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00168,PHC Ganjam #14,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00169,PHC Ganjam #15,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00170,PHC Ganjam #16,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00171,PHC Ganjam #17,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00172,PHC Ganjam #18,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00173,PHC Ganjam #19,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00174,PHC Ganjam #20,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00175,PHC Ganjam #21,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00176,PHC Ganjam #22,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00177,PHC Ganjam #23,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00178,PHC Ganjam #24,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00179,PHC Ganjam #25,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00180,PHC Ganjam #26,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00181,PHC Ganjam #27,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00182,PHC Ganjam #28,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00183,PHC Ganjam #29,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00184,PHC Ganjam #30,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00185,PHC Ganjam #31,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00186,PHC Ganjam #32,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00187,PHC Ganjam #33,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00188,PHC Ganjam #34,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00189,PHC Ganjam #35,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00190,PHC Ganjam #36,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00191,PHC Ganjam #37,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00192,PHC Ganjam #38,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00193,PHC Ganjam #39,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00194,PHC Ganjam #40,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00195,PHC Ganjam #41,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00196,PHC Ganjam #42,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00197,PHC Ganjam #43,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00198,PHC Ganjam #44,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00199,PHC Ganjam #45,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00200,PHC Ganjam #46,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00201,PHC Ganjam #47,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00202,PHC Ganjam #48,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00203,PHC Ganjam #49,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00204,PHC Ganjam #50,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00205,PHC Ganjam #51,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00206,PHC Ganjam #52,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00207,PHC Ganjam #53,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00208,PHC Ganjam #54,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00209,PHC Ganjam #55,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00210,PHC Ganjam #56,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00211,PHC Ganjam #57,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00212,PHC Ganjam #58,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00213,PHC Ganjam #59,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00214,PHC Ganjam #60,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00215,PHC Ganjam #61,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00216,PHC Ganjam #62,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00217,PHC Ganjam #63,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00218,PHC Ganjam #64,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00219,PHC Ganjam #65,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00220,PHC Ganjam #66,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00221,PHC Ganjam #67,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00222,PHC Ganjam #68,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00223,PHC Ganjam #69,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00224,PHC Ganjam #70,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00225,PHC Ganjam #71,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00226,PHC Ganjam #72,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00227,PHC Ganjam #73,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00228,PHC Ganjam #74,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00229,PHC Ganjam #75,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00230,PHC Ganjam #76,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00231,PHC Ganjam #77,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00232,PHC Ganjam #78,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00233,PHC Ganjam #79,PHC,Ganjam,Odisha,6,real_state_totals_synthetic_district_distribution
F00234,PHC Ganjam #80,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00235,PHC Ganjam #81,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00236,PHC Ganjam #82,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00237,PHC Ganjam #83,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00238,PHC Ganjam #84,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00239,PHC Ganjam #85,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00240,PHC Ganjam #86,PHC,Ganjam,Odisha,9,real_state_totals_synthetic_district_distribution
F00241,PHC Ganjam #87,PHC,Ganjam,Odisha,7,real_state_totals_synthetic_district_distribution
F00242,PHC Ganjam #88,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00243,PHC Ganjam #89,PHC,Ganjam,Odisha,4,real_state_totals_synthetic_district_distribution
F00244,PHC Ganjam #90,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00245,PHC Ganjam #91,PHC,Ganjam,Odisha,8,real_state_totals_synthetic_district_distribution
F00246,PHC Ganjam #92,PHC,Ganjam,Odisha,10,real_state_totals_synthetic_district_distribution
F00247,PHC Ganjam #93,PHC,Ganjam,Odisha,5,real_state_totals_synthetic_district_distribution
F00248,CHC Ganjam #1,CHC,Ganjam,Odisha,24,real_state_totals_synthetic_district_distribution
F00249,CHC Ganjam #2,CHC,Ganjam,Odisha,41,real_state_totals_synthetic_district_distribution
F00250,CHC Ganjam #3,CHC,Ganjam,Odisha,35,real_state_totals_synthetic_district_distribution
F00251,CHC Ganjam #4,CHC,Ganjam,Odisha,50,real_state_totals_synthetic_district_distribution
F00252,CHC Ganjam #5,CHC,Ganjam,Odisha,37,real_state_totals_synthetic_district_distribution
F00253,CHC Ganjam #6,CHC,Ganjam,Odisha,25,real_state_totals_synthetic_district_distribution
F00254,CHC Ganjam #7,CHC,Ganjam,Odisha,28,real_state_totals_synthetic_district_distribution
F00255,CHC Ganjam #8,CHC,Ganjam,Odisha,36,real_state_totals_synthetic_district_distribution
F00256,CHC Ganjam #9,CHC,Ganjam,Odisha,47,real_state_totals_synthetic_district_distribution
F00257,CHC Ganjam #10,CHC,Ganjam,Odisha,39,real_state_totals_synthetic_district_distribution
F00258,CHC Ganjam #11,CHC,Ganjam,Odisha,33,real_state_totals_synthetic_district_distribution
F00259,CHC Ganjam #12,CHC,Ganjam,Odisha,50,real_state_totals_synthetic_district_distribution
F00260,CHC Ganjam #13,CHC,Ganjam,Odisha,26,real_state_totals_synthetic_district_distribution
F00261,CHC Ganjam #14,CHC,Ganjam,Odisha,49,real_state_totals_synthetic_district_distribution
F00262,CHC Ganjam #15,CHC,Ganjam,Odisha,37,real_state_totals_synthetic_district_distribution
F00263,CHC Ganjam #16,CHC,Ganjam,Odisha,44,real_state_totals_synthetic_district_distribution
F00264,District Hospital Ganjam #1,District Hospital,Ganjam,Odisha,286,real_state_totals_synthetic_district_distribution
F00265,District Hospital Ganjam #2,District Hospital,Ganjam,Odisha,276,real_state_totals_synthetic_district_distribution
F00266,PHC Mayurbhanj #1,PHC,Mayurbhanj,Odisha,5,real_state_totals_synthetic_district_distribution
F00267,PHC Mayurbhanj #2,PHC,Mayurbhanj,Odisha,9,real_state_totals_synthetic_district_distribution
F00268,PHC Mayurbhanj #3,PHC,Mayurbhanj,Odisha,6,real_state_totals_synthetic_district_distribution
F00269,PHC Mayurbhanj #4,PHC,Mayurbhanj,Odisha,7,real_state_totals_synthetic_district_distribution
F00270,PHC Mayurbhanj #5,PHC,Mayurbhanj,Odisha,9,real_state_totals_synthetic_district_distribution
F00271,PHC Mayurbhanj #6,PHC,Mayurbhanj,Odisha,9,real_state_totals_synthetic_district_distribution
F00272,PHC Mayurbhanj #7,PHC,Mayurbhanj,Odisha,6,real_state_totals_synthetic_district_distribution
F00273,PHC Mayurbhanj #8,PHC,Mayurbhanj,Odisha,7,real_state_totals_synthetic_district_distribution
F00274,PHC Mayurbhanj #9,PHC,Mayurbhanj,Odisha,8,real_state_totals_synthetic_district_distribution
F00275,PHC Mayurbhanj #10,PHC,Mayurbhanj,Odisha,7,real_state_totals_synthetic_district_distribution
F00276,PHC Mayurbhanj #11,PHC,Mayurbhanj,Odisha,4,real_state_totals_synthetic_district_distribution
F00277,PHC Mayurbhanj #12,PHC,Mayurbhanj,Odisha,5,real_state_totals_synthetic_district_distribution
F00278,PHC Mayurbhanj #13,PHC,Mayurbhanj,Odisha,5,real_state_totals_synthetic_district_distribution
F00279,PHC Mayurbhanj #14,PHC,Mayurbhanj,Odisha,4,real_state_totals_synthetic_district_distribution
