facility_id,medicine_name,current_quantity,reorder_threshold,stock_status,stock_profile_assigned,data_source
F00007,Paracetamol,41,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Ibuprofen,28,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Amoxicillin,34,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Ciprofloxacin,39,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Metronidazole,34,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Oral Rehydration Salts (ORS),53,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Zinc Sulphate,48,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Folic Acid,41,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Iron + Folic Acid,38,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Chlorpheniramine,44,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Povidone Iodine,27,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00007,Normal Saline (0.9% NaCl),38,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00008,Paracetamol,11,10,Healthy,Low,simulated_no_public_realtime_data_available
F00008,Ibuprofen,7,10,Low,Low,simulated_no_public_realtime_data_available
F00008,Amoxicillin,8,10,Low,Low,simulated_no_public_realtime_data_available
F00008,Ciprofloxacin,7,10,Low,Low,simulated_no_public_realtime_data_available
F00008,Metronidazole,5,10,Low,Low,simulated_no_public_realtime_data_available
F00008,Oral Rehydration Salts (ORS),6,10,Low,Low,simulated_no_public_realtime_data_available
F00008,Zinc Sulphate,9,10,Low,Low,simulated_no_public_realtime_data_available
F00008,Folic Acid,10,10,Healthy,Low,simulated_no_public_realtime_data_available
F00008,Iron + Folic Acid,7,10,Low,Low,simulated_no_public_realtime_data_available
F00008,Chlorpheniramine,6,10,Low,Low,simulated_no_public_realtime_data_available
F00008,Povidone Iodine,10,10,Healthy,Low,simulated_no_public_realtime_data_available
F00008,Normal Saline (0.9% NaCl),8,10,Low,Low,simulated_no_public_realtime_data_available
F00009,Paracetamol,84,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Ibuprofen,72,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Amoxicillin,52,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Ciprofloxacin,59,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Metronidazole,51,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Oral Rehydration Salts (ORS),58,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Zinc Sulphate,90,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Folic Acid,78,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Iron + Folic Acid,77,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Chlorpheniramine,59,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Povidone Iodine,90,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00009,Normal Saline (0.9% NaCl),80,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Paracetamol,37,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Ibuprofen,31,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Amoxicillin,30,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Ciprofloxacin,26,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Metronidazole,23,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Oral Rehydration Salts (ORS),35,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Zinc Sulphate,34,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Folic Acid,21,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Iron + Folic Acid,43,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Chlorpheniramine,20,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Povidone Iodine,22,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00010,Normal Saline (0.9% NaCl),23,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Paracetamol,93,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Ibuprofen,86,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Amoxicillin,70,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Ciprofloxacin,81,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Metronidazole,47,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Oral Rehydration Salts (ORS),67,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Zinc Sulphate,67,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Folic Acid,81,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Iron + Folic Acid,72,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Chlorpheniramine,76,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Povidone Iodine,59,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00011,Normal Saline (0.9% NaCl),78,18,Healthy,Healthy,simulated_no_public_realtime_data_available
F00012,Paracetamol,9,18,Low,Low,simulated_no_public_realtime_data_available
F00012,Ibuprofen,19,18,Healthy,Low,simulated_no_public_realtime_data_available
F00012,Amoxicillin,10,18,Low,Low,simulated_no_public_realtime_data_available
F00012,Ciprofloxacin,19,18,Healthy,Low,simulated_no_public_realtime_data_available
F00012,Metronidazole,17,18,Low,Low,simulated_no_public_realtime_data_available
F00012,Oral Rehydration Salts (ORS),13,18,Low,Low,simulated_no_public_realtime_data_available
F00012,Zinc Sulphate,19,18,Healthy,Low,simulated_no_public_realtime_data_available
F00012,Folic Acid,14,18,Low,Low,simulated_no_public_realtime_data_available
F00012,Iron + Folic Acid,10,18,Low,Low,simulated_no_public_realtime_data_available
F00012,Chlorpheniramine,13,18,Low,Low,simulated_no_public_realtime_data_available
F00012,Povidone Iodine,15,18,Low,Low,simulated_no_public_realtime_data_available
F00012,Normal Saline (0.9% NaCl),11,18,Low,Low,simulated_no_public_realtime_data_available
F00013,Paracetamol,84,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Ibuprofen,84,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Amoxicillin,54,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Ciprofloxacin,70,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Metronidazole,86,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Oral Rehydration Salts (ORS),49,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Zinc Sulphate,70,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Folic Acid,44,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Iron + Folic Acid,78,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Chlorpheniramine,57,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Povidone Iodine,78,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00013,Normal Saline (0.9% NaCl),70,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00014,Paracetamol,5,8,Low,Low,simulated_no_public_realtime_data_available
F00014,Ibuprofen,6,8,Low,Low,simulated_no_public_realtime_data_available
F00014,Amoxicillin,5,8,Low,Low,simulated_no_public_realtime_data_available
F00014,Ciprofloxacin,8,8,Healthy,Low,simulated_no_public_realtime_data_available
F00014,Metronidazole,8,8,Healthy,Low,simulated_no_public_realtime_data_available
F00014,Oral Rehydration Salts (ORS),4,8,Low,Low,simulated_no_public_realtime_data_available
F00014,Zinc Sulphate,8,8,Healthy,Low,simulated_no_public_realtime_data_available
F00014,Folic Acid,6,8,Low,Low,simulated_no_public_realtime_data_available
F00014,Iron + Folic Acid,7,8,Low,Low,simulated_no_public_realtime_data_available
F00014,Chlorpheniramine,4,8,Low,Low,simulated_no_public_realtime_data_available
F00014,Povidone Iodine,4,8,Low,Low,simulated_no_public_realtime_data_available
F00014,Normal Saline (0.9% NaCl),6,8,Low,Low,simulated_no_public_realtime_data_available
F00015,Paracetamol,12,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Ibuprofen,11,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Amoxicillin,8,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Ciprofloxacin,11,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Metronidazole,17,16,Healthy,Low,simulated_no_public_realtime_data_available
F00015,Oral Rehydration Salts (ORS),9,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Zinc Sulphate,9,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Folic Acid,15,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Iron + Folic Acid,9,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Chlorpheniramine,16,16,Healthy,Low,simulated_no_public_realtime_data_available
F00015,Povidone Iodine,10,16,Low,Low,simulated_no_public_realtime_data_available
F00015,Normal Saline (0.9% NaCl),10,16,Low,Low,simulated_no_public_realtime_data_available
F00016,Paracetamol,68,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Ibuprofen,43,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Amoxicillin,49,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Ciprofloxacin,66,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Metronidazole,71,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Oral Rehydration Salts (ORS),60,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Zinc Sulphate,46,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Folic Acid,67,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Iron + Folic Acid,77,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Chlorpheniramine,45,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Povidone Iodine,78,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00016,Normal Saline (0.9% NaCl),52,14,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Paracetamol,40,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Ibuprofen,39,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Amoxicillin,30,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Ciprofloxacin,33,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Metronidazole,35,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Oral Rehydration Salts (ORS),33,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Zinc Sulphate,22,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Folic Acid,26,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Iron + Folic Acid,26,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Chlorpheniramine,21,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Povidone Iodine,29,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00017,Normal Saline (0.9% NaCl),19,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00018,Paracetamol,5,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Ibuprofen,8,8,Healthy,Low,simulated_no_public_realtime_data_available
F00018,Amoxicillin,5,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Ciprofloxacin,4,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Metronidazole,4,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Oral Rehydration Salts (ORS),4,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Zinc Sulphate,5,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Folic Acid,4,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Iron + Folic Acid,4,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Chlorpheniramine,6,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Povidone Iodine,4,8,Low,Low,simulated_no_public_realtime_data_available
F00018,Normal Saline (0.9% NaCl),8,8,Healthy,Low,simulated_no_public_realtime_data_available
F00019,Paracetamol,40,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Ibuprofen,34,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Amoxicillin,25,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Ciprofloxacin,36,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Metronidazole,23,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Oral Rehydration Salts (ORS),42,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Zinc Sulphate,37,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Folic Acid,37,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Iron + Folic Acid,34,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Chlorpheniramine,26,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Povidone Iodine,44,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00019,Normal Saline (0.9% NaCl),34,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00020,Paracetamol,6,10,Low,Low,simulated_no_public_realtime_data_available
F00020,Ibuprofen,5,10,Low,Low,simulated_no_public_realtime_data_available
F00020,Amoxicillin,5,10,Low,Low,simulated_no_public_realtime_data_available
F00020,Ciprofloxacin,10,10,Healthy,Low,simulated_no_public_realtime_data_available
F00020,Metronidazole,8,10,Low,Low,simulated_no_public_realtime_data_available
F00020,Oral Rehydration Salts (ORS),7,10,Low,Low,simulated_no_public_realtime_data_available
F00020,Zinc Sulphate,8,10,Low,Low,simulated_no_public_realtime_data_available
F00020,Folic Acid,8,10,Low,Low,simulated_no_public_realtime_data_available
F00020,Iron + Folic Acid,8,10,Low,Low,simulated_no_public_realtime_data_available
F00020,Chlorpheniramine,11,10,Healthy,Low,simulated_no_public_realtime_data_available
F00020,Povidone Iodine,10,10,Healthy,Low,simulated_no_public_realtime_data_available
F00020,Normal Saline (0.9% NaCl),5,10,Low,Low,simulated_no_public_realtime_data_available
F00021,Paracetamol,10,10,Healthy,Low,simulated_no_public_realtime_data_available
F00021,Ibuprofen,5,10,Low,Low,simulated_no_public_realtime_data_available
F00021,Amoxicillin,5,10,Low,Low,simulated_no_public_realtime_data_available
F00021,Ciprofloxacin,8,10,Low,Low,simulated_no_public_realtime_data_available
F00021,Metronidazole,10,10,Healthy,Low,simulated_no_public_realtime_data_available
F00021,Oral Rehydration Salts (ORS),7,10,Low,Low,simulated_no_public_realtime_data_available
F00021,Zinc Sulphate,11,10,Healthy,Low,simulated_no_public_realtime_data_available
F00021,Folic Acid,11,10,Healthy,Low,simulated_no_public_realtime_data_available
F00021,Iron + Folic Acid,5,10,Low,Low,simulated_no_public_realtime_data_available
F00021,Chlorpheniramine,6,10,Low,Low,simulated_no_public_realtime_data_available
F00021,Povidone Iodine,6,10,Low,Low,simulated_no_public_realtime_data_available
F00021,Normal Saline (0.9% NaCl),6,10,Low,Low,simulated_no_public_realtime_data_available
F00022,Paracetamol,46,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Ibuprofen,65,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Amoxicillin,49,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Ciprofloxacin,55,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Metronidazole,67,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Oral Rehydration Salts (ORS),53,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Zinc Sulphate,42,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Folic Acid,66,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Iron + Folic Acid,89,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Chlorpheniramine,73,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Povidone Iodine,44,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00022,Normal Saline (0.9% NaCl),41,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Paracetamol,72,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Ibuprofen,38,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Amoxicillin,43,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Ciprofloxacin,86,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Metronidazole,53,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Oral Rehydration Salts (ORS),48,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Zinc Sulphate,64,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Folic Acid,69,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Iron + Folic Acid,68,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Chlorpheniramine,51,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Povidone Iodine,63,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00023,Normal Saline (0.9% NaCl),41,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Paracetamol,19,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Ibuprofen,31,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Amoxicillin,27,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Ciprofloxacin,44,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Metronidazole,44,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Oral Rehydration Salts (ORS),33,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Zinc Sulphate,28,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Folic Acid,32,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Iron + Folic Acid,41,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Chlorpheniramine,42,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Povidone Iodine,44,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00024,Normal Saline (0.9% NaCl),36,8,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Paracetamol,69,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Ibuprofen,47,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Amoxicillin,50,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Ciprofloxacin,56,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Metronidazole,51,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Oral Rehydration Salts (ORS),41,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Zinc Sulphate,75,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Folic Acid,85,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Iron + Folic Acid,72,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Chlorpheniramine,41,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Povidone Iodine,85,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00025,Normal Saline (0.9% NaCl),58,16,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Paracetamol,54,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Ibuprofen,56,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Amoxicillin,34,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Ciprofloxacin,27,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Metronidazole,56,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Oral Rehydration Salts (ORS),29,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Zinc Sulphate,35,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Folic Acid,28,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Iron + Folic Acid,28,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Chlorpheniramine,39,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Povidone Iodine,49,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00026,Normal Saline (0.9% NaCl),31,10,Healthy,Healthy,simulated_no_public_realtime_data_available
F00027,Paracetamol,4,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Ibuprofen,1,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Amoxicillin,4,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Ciprofloxacin,4,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Metronidazole,0,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Oral Rehydration Salts (ORS),4,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Zinc Sulphate,0,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Folic Acid,3,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Iron + Folic Acid,5,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Chlorpheniramine,4,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Povidone Iodine,4,18,Critical,Critical,simulated_no_public_realtime_data_available
F00027,Normal Saline (0.9% NaCl),4,18,Critical,Critical,simulated_no_public_realtime_data_available
F00028,Paracetamol,59,18,Healthy,Healthy,simulated_no_public_realtime_data_available
